species_slug,dexnum_int,entry_order,flavor_text_en
ivysaur,2,9,"When the bud on its back starts swelling, a sweet aroma wafts to indicate the flower’s coming bloom."
ivysaur,2,10,Exposure to sunlight adds to its strength. Sunlight also makes the bud on its back grow larger.
ivysaur,2,11,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon."
ivysaur,2,12,The bud on its back grows by drawing energy. It gives off an aroma when it is ready to bloom.
venusaur,3,1,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
venusaur,3,2,The flower on its back catches the sun's rays. The sunlight is then absorbed and used for energy.
venusaur,3,3,"By spreading the broad petals of its flower and catching the sun's rays, it fills its body with power."
venusaur,3,4,"It is able to con­ vert sunlight into energy. As a result, it is more powerful in the summertime."
venusaur,3,5,"As it warms it­ self and absorbs the sunlight, its flower petals release a pleasant fragrance."
venusaur,3,6,There is a large flower on VENUSAUR’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
venusaur,3,7,VENUSAUR’s flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
venusaur,3,8,A bewitching aroma wafts from its flower. The fragrance becalms those engaged in a battle.
venusaur,3,9,Its plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
venusaur,3,10,"After a rainy day, the flower on its back smells stronger. The scent attracts other Pokémon."
venusaur,3,11,"By spreading the broad petals of its flower and catching the sun’s rays, it fills its body with power."
venusaur,3,12,"It is able to convert sunlight into energy. As a result, it is more powerful in the summertime."
venusaur,3,13,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.
venusaur,3,14,The flower on its back catches the sun’s rays. The sunlight is then absorbed and used for energy.
charmander,4,1,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
charmander,4,2,The flame at the tip of its tail makes a sound as it burns. You can only hear it in quiet places.
charmander,4,3,"The flame on its tail shows the strength of its life force. If it is weak, the flame also burns weakly."
charmander,4,4,"The flame on its tail indicates CHARMANDER's life force. If it is healthy, the flame burns brightly."
charmander,4,5,"If it's healthy, the flame on the tip of its tail will burn vigor­ ously, even if it gets a bit wet."
charmander,4,6,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is enjoying itself. If the POKéMON becomes enraged, the flame burns fiercely."
charmander,4,7,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when CHARMANDER is happy, and blazes when it is enraged."
charmander,4,8,"From the time it is born, a flame burns at the tip of its tail. Its life would end if the flame were to go out."
charmander,4,9,"It has a preference for hot things. When it rains, steam is said to spout from the tip of its tail."
charmander,4,10,"The fire on the tip of its tail is a measure of its life. If healthy, its tail burns intensely."
charmander,4,11,"The flame on its tail indicates CHARMANDER’s life force. If it is healthy, the flame burns brightly."
charmander,4,12,"The flame on its tail indicates Charmander’s life force. If it is healthy, the flame burns brightly."
charmander,4,13,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely."
charmeleon,5,1,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
charmeleon,5,2,"Tough fights could excite this POKéMON. When excited, it may blow out bluish- white flames."
charmeleon,5,3,"It is very hot­ headed by nature, so it constantly seeks opponents. It calms down only when it wins."
charmeleon,5,4,"It has a barbaric nature. In battle, it whips its fiery tail around and slashes away with sharp claws."
charmeleon,5,5,"If it becomes agitated during battle, it spouts intense flames, incinerating its surroundings."
charmeleon,5,6,"CHARMELEON mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
charmeleon,5,7,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color."
charmeleon,5,8,It lashes about with its tail to knock down its foe. It then tears up the fallen opponent with sharp claws.
charmeleon,5,9,"When it swings its burning tail, it elevates the air temperature to unbearably high levels."
charmeleon,5,10,"In the rocky mountains where CHARMELEON live, their fiery tails shine at night like stars."
charmeleon,5,11,"It is very hotheaded by nature, so it constantly seeks opponents. It calms down only when it wins."
charmeleon,5,12,"In the rocky mountains where Charmeleon live, their fiery tails shine at night like stars."
charmeleon,5,13,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color."
charmeleon,5,14,"Tough fights could excite this Pokémon. When excited, it may breathe out bluish-white flames."
charizard,6,1,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
charizard,6,2,"When expelling a blast of super hot fire, the red flame at the tip of its tail burns more intensely."
charizard,6,3,"If CHARIZARD be­ comes furious, the flame at the tip of its tail flares up in a whitish- blue color."
charizard,6,4,"Breathing intense, hot flames, it can melt almost any­ thing. Its breath inflicts terrible pain on enemies."
charizard,6,5,It uses its wings to fly high. The temperature of its fire increases as it gains exper­ ience in battle.
charizard,6,6,"CHARIZARD flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
charizard,6,7,"A CHARIZARD flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe."
charizard,6,8,"Its wings can carry this POKéMON close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard,6,9,It spits fire that is hot enough to melt boulders. It may cause forest fires by blowing flames.
charizard,6,10,It is said that CHARIZARD’s fire burns hotter if it has experienced harsh battles.
charizard,6,11,"If CHARIZARD becomes furious, the flame at the tip of its tail flares up in a light blue shade."
charizard,6,12,"Breathing intense, hot flames, it can melt almost anything. Its breath inflicts terrible pain on enemies."
charizard,6,13,It is said that Charizard’s fire burns hotter if it has experienced harsh battles.
charizard,6,14,"When expelling a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
charizard,6,15,"Its wings can carry this Pokémon close to an altitude of 4,600 feet. It blows out fire at very high temperatures."
charizard,6,16,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself."
charizard,6,17,"When this Pokémon expels a blast of superhot fire, the red flame at the tip of its tail burns more intensely."
squirtle,7,1,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
squirtle,7,2,Shoots water at prey while in the water. Withdraws into its shell when in danger.
squirtle,7,3,"The shell is soft when it is born. It soon becomes so resilient, prod­ ding fingers will bounce off it."
squirtle,7,4,"The shell, which hardens soon after it is born, is resilient. If you poke it, it will bounce back out."
squirtle,7,5,"When it feels threatened, it draws its legs inside its shell and sprays water from its mouth."
squirtle,7,6,"SQUIRTLE’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this POKéMON to swim at high speeds."
squirtle,7,7,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling SQUIRTLE to swim at high speeds."
squirtle,7,8,"When it retracts its long neck into its shell, it squirts out water with vigorous force."
squirtle,7,9,"After birth, its back swells and hardens into a shell. It powerfully sprays foam from its mouth."
squirtle,7,10,"It shelters itself in its shell, then strikes back with spouts of water at every opportunity."
squirtle,7,11,"The shell is soft when it is born. It soon becomes so resilient, prodding fingers will bounce off it."
squirtle,7,12,It shelters itself in its shell then strikes back with spouts of water at every opportunity.
squirtle,7,13,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds."
squirtle,7,14,"When it feels threatened, it draws its limbs inside its shell and sprays water from its mouth."
wartortle,8,1,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
wartortle,8,2,"When tapped, this POKéMON will pull in its head, but its tail will still stick out a little bit."
wartortle,8,3,"It is recognized as a symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
wartortle,8,4,It cleverly con­ trols its furry ears and tail to maintain its balance while swimming.
wartortle,8,5,"Its long, furry tail is a symbol of longevity, making it quite popular among older people."
wartortle,8,6,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as WARTORTLE ages. The scratches on its shell are evidence of this POKéMON’s toughness as a battler."
wartortle,8,7,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this POKéMON’s toughness in battle."
wartortle,8,8,This POKéMON is very popular as a pet. Its fur-covered tail is a symbol of its longevity.
wartortle,8,9,"It often hides in water to stalk unwary prey. For fast swimming, it moves its ears to maintain balance."
wartortle,8,10,"It is said to live 10,000 years. Its furry tail is popular as a symbol of longevity."
wartortle,8,11,"It is a well-established symbol of longevity. If its shell has algae on it, that WARTORTLE is very old."
wartortle,8,12,It cleverly controls its furry ears and tail to maintain its balance while swimming.
wartortle,8,13,"When tapped, this Pokémon will pull in its head, but its tail will still stick out a little bit."
wartortle,8,14,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler."
wartortle,8,15,"When tapped on its head, this Pokémon will pull it in, but its tail will still stick out a little bit."
wartortle,8,16,"It is recognized as a symbol of longevity. If its shell has algae on it, that Wartortle is very old."
blastoise,9,1,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
blastoise,9,2,"Once it takes aim at its enemy, it blasts out water with even more force than a fire hose."
blastoise,9,3,It deliberately makes itself heavy so it can with­ stand the recoil of the water jets it fires.
blastoise,9,4,The rocket cannons on its shell fire jets of water capable of punch­ ing holes through thick steel.
blastoise,9,5,It firmly plants its feet on the ground before shooting water from the jets on its back.
blastoise,9,6,BLASTOISE has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
blastoise,9,7,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.
blastoise,9,8,"It crushes its foe under its heavy body to cause fainting. In a pinch, it will withdraw inside its shell."
blastoise,9,9,The pressurized water jets on this brutal POKéMON’s shell are used for high- speed tackles.
blastoise,9,10,The jets of water it spouts from the rocket cannons on its shell can punch through thick steel.
blastoise,9,11,It deliberately makes itself heavy so it can withstand the recoil of the water jets it fires.
blastoise,9,12,The rocket cannons on its shell fire jets of water capable of punching holes through thick steel.
blastoise,9,13,The pressurized water jets on this brutal Pokémon’s shell are used for high-speed tackles.
blastoise,9,14,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.
caterpie,10,1,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
caterpie,10,2,"If you touch the feeler on top of its head, it will release a horrible stink to protect itself."
caterpie,10,3,"For protection, it releases a horri­ ble stench from the antenna on its head to drive away enemies."
caterpie,10,4,Its feet have suction cups designed to stick to any surface. It tenaciously climbs trees to forage.
caterpie,10,5,It crawls into foliage where it camouflages itself among leaves that are the same color as its body.
caterpie,10,6,"CATERPIE has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this POKéMON releases a terrifically strong odor."
caterpie,10,7,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.
caterpie,10,8,"It is covered with a green skin. When it grows, it sheds the skin, covers itself with silk, and becomes a cocoon."
caterpie,10,9,It releases a stench from its red antenna to repel enemies. It grows by molting repeatedly.
caterpie,10,10,"For protection, it releases a horrible stench from the antennae on its head to drive away enemies."
caterpie,10,11,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor."
caterpie,10,12,"When attacked by bird Pokémon, it resists by releasing a terrifically strong odor from its antennae, but it often becomes their prey."
caterpie,10,13,"It’s easy to catch, and it grows quickly, making it one of the top recommendations for novice Pokémon Trainers."
caterpie,10,14,"Perhaps because it would like to grow up quickly, it has a voracious appetite, eating a hundred leaves a day."
caterpie,10,15,"Its body is soft and weak. In nature, its perpetual fate is to be seen by others as food."
caterpie,10,16,"For protection, it releases a horrible stench from the antenna on its head to drive away enemies."
metapod,11,1,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
metapod,11,2,"Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell."
metapod,11,3,"Inside the shell, it is soft and weak as it pre­ pares to evolve. It stays motion­ less in the shell."
metapod,11,4,It prepares for evolution by har­ dening its shell as much as possi­ ble to protect its soft body.
metapod,11,5,"This is its pre- evolved form. At this stage, it can only harden, so it remains motionless to avoid attack."
metapod,11,6,The shell covering this POKéMON’s body is as hard as an iron slab. METAPOD does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
metapod,11,7,Its shell is as hard as an iron slab. A METAPOD does not move very much because it is preparing its soft innards for evolution inside the shell.
metapod,11,8,"Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
metapod,11,9,A steel-hard shell protects its tender body. It quietly endures hardships while awaiting evolution.
metapod,11,10,"Inside the shell, it is soft and weak as it prepares to evolve. It stays motionless in the shell."
metapod,11,11,It prepares for evolution by hardening its shell as much as possible to protect its soft body.
metapod,11,12,"This Pokémon is vulnerable to attack while its shell is soft, exposing its weak and tender body."
metapod,11,13,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.
metapod,11,14,Its shell is filled with its soft innards. It doesn’t move much because of the risk it might carelessly spill its innards out.
metapod,11,15,"Its shell is hard, but it’s still just a bug shell. It’s been known to break, so intense battles with it should be avoided."
metapod,11,16,Its shell is filled with a thick liquid. All of the cells throughout its body are being rebuilt in preparation for evolution.
metapod,11,17,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides."
metapod,11,18,"It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack."
butterfree,12,1,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
butterfree,12,2,"Its wings, covered with poisonous powders, repel water. This allows it to fly in the rain."
butterfree,12,3,It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest.
butterfree,12,4,"Water-repellent powder on its wings enables it to collect honey, even in the heav­ iest of rains."
butterfree,12,5,"It flits from flower to flower, collecting honey. It can even identify distant flowers in bloom."
butterfree,12,6,"BUTTERFREE has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
butterfree,12,7,"It has a superior ability to search for delicious honey from flowers. It can seek, extract, and carry honey from flowers blooming over six miles away."
butterfree,12,8,"The wings are protected by rain-repellent dust. As a result, this POKéMON can fly about even in rain."
butterfree,12,9,"In battle, it flaps its wings at great speed to release highly toxic dust into the air."
butterfree,12,10,It loves the honey of flowers and can locate flower patches that have even tiny amounts of pollen.
butterfree,12,11,"Water-repellent powder on its wings enables it to collect honey, even in the heaviest of rains."
butterfree,12,12,"The wings are protected by rain-repellent dust. As a result, this Pokémon can fly about even in rain."
butterfree,12,13,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest."
butterfree,12,14,Close examination of its large eyes reveals that each eye is composed of a myriad of tiny eyes.
butterfree,12,15,"When attacked by other Pokémon, it defends itself by scattering its poisonous scales and fluttering its wings."
butterfree,12,16,"Its wings are covered in toxic scales. If it finds bird Pokémon going after Caterpie, Butterfree sprinkles its scales on them to drive them off."
butterfree,12,17,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory."
butterfree,12,18,"Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain."
weedle,13,1,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
weedle,13,2,Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves.
weedle,13,3,Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies.
weedle,13,4,It attacks using a two-inch poison barb on its head. It can usually be found under the leaves it eats.
weedle,13,5,The barb on top of its head secretes a strong poison. It uses this toxic barb to protect itself.
weedle,13,6,WEEDLE has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
weedle,13,7,A WEEDLE has an extremely acute sense of smell. It distinguishes its favorite kinds of leaves from those it dislikes by sniffing with its big red proboscis (nose).
weedle,13,8,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head."
weedle,13,9,"Often found in forests, eating leaves. It has a sharp stinger on its head that injects poison."
weedle,13,10,It eats its weight in leaves every day. It fends off attackers with the needle on its head.
weedle,13,11,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).
kakuna,14,1,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
kakuna,14,2,"Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
kakuna,14,3,"Although it is a cocoon, it can move a little. It can extend its poison barb if it is attacked."
kakuna,14,4,"From this form, it will grow into an adult. As its body becomes soft­ er, the external shell hardens."
kakuna,14,5,"Nearly incapable of movement, it leans against stout trees while waiting for its evolution."
kakuna,14,6,"KAKUNA remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
kakuna,14,7,"It remains virtually immobile while it clings to a tree. However, on the inside, it busily prepares for evolution. This is evident from how hot its shell becomes."
kakuna,14,8,This POKéMON is in a temporary stage while making its body. It is almost completely unable to move on its own.
kakuna,14,9,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself when it is in danger."
kakuna,14,10,"While awaiting evolution, it hides from predators under leaves and in nooks of branches."
kakuna,14,11,"From this form, it will grow into an adult. As its body becomes softer, the external shell hardens."
kakuna,14,12,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger."
kakuna,14,13,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch."
beedrill,15,1,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
beedrill,15,2,Flies at high speed and attacks using its large venomous stingers on its forelegs and tail.
beedrill,15,3,It has 3 poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
beedrill,15,4,It can take down any opponent with its powerful poi­ son stingers. It sometimes attacks in swarms.
beedrill,15,5,It has three poison barbs. The barb on its tail secretes the most powerful poison.
beedrill,15,6,"It uses sharp, poisonous stings to defeat prey, then takes the victim back to its nest for food."
beedrill,15,7,"BEEDRILL is extremely territorial. No one should ever approach its nest - this is for their own safety. If angered, they will attack in a furious swarm."
beedrill,15,8,"A BEEDRILL is extremely territorial. For safety reasons, no one should ever approach its nest. If angered, they will attack in a swarm."
beedrill,15,9,"May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear."
beedrill,15,10,It flies at high speed and attacks using the large venomous stingers on its forelegs and tail.
beedrill,15,11,"Its best attack involves flying around at high speed, striking with poison needles, then flying off."
beedrill,15,12,It can take down any opponent with its powerful poison stingers. It sometimes attacks in swarms.
beedrill,15,13,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm."
pidgey,16,1,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
pidgey,16,2,"Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
pidgey,16,3,"It usually hides in tall grass. Be­ cause it dislikes fighting, it pro­ tects itself by kicking up sand."
pidgey,16,4,"Common in grassy areas and forests, it is very docile and will chase off enemies by flap­ ping up sand."
pidgey,16,5,"It rapidly flaps its wings in the grass, stirring up a dust cloud that drives insect prey out into the open."
pidgey,16,6,"PIDGEY has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
pidgey,16,7,"It has an extremely sharp sense of direction. It can unerringly return home to its nest, however far it may be removed from its familiar surroundings."
pidgey,16,8,"Does not like to fight. It hides in tall grass and so on, foraging for food such as small bugs."
pidgey,16,9,"It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back."
pidgey,16,10,"It usually hides in tall grass. Because it dislikes fighting, it protects itself by kicking up sand."
pidgey,16,11,"Common in grassy areas and forests, it is very docile and will chase off enemies by flapping up sand."
pidgey,16,12,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings."
pidgeotto,17,1,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
pidgeotto,17,2,This POKéMON is full of vitality. It constantly flies around its large territory in search of prey.
pidgeotto,17,3,"It has outstanding vision. However high it flies, it is able to distin­ guish the move­ ments of its prey."
pidgeotto,17,4,"It immobilizes its prey using well- developed claws, then carries the prey more than 60 miles to its nest."
pidgeotto,17,5,"It slowly flies in a circular pat­ tern, all the while keeping a sharp lookout for prey."
pidgeotto,17,6,"PIDGEOTTO claims a large area as its own territory. This POKéMON flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
pidgeotto,17,7,"This POKéMON flies around, patrolling its large territory. If its living space is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
pidgeotto,17,8,The claws on its feet are well developed. It can carry prey such as an EXEGGCUTE to its nest over 60 miles away.
pidgeotto,17,9,"It flies over its wide territory in search of prey, downing it with its highly developed claws."
pidgeotto,17,10,"It has outstanding vision. However high it flies, it is able to distinguish the movements of its prey."
pidgeotto,17,11,"It renders its prey immobile using well-developed claws, then carries the prey more than 60 miles to its nest."
pidgeotto,17,12,The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away.
pidgeotto,17,13,"Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder."
pidgeotto,17,14,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws."
pidgeotto,17,15,This Pokémon is full of vitality. It constantly flies around its large territory in search of prey.
pidgeot,18,1,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
pidgeot,18,2,"This POKéMON flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
pidgeot,18,3,Its well-developed chest muscles make it strong enough to whip up a gusty windstorm with just a few flaps.
pidgeot,18,4,It spreads its beautiful wings wide to frighten its enemies. It can fly at Mach 2 speed.
pidgeot,18,5,"Its outstanding vision allows it to spot splashing MAGIKARP, even while flying at 3300 feet."
pidgeot,18,6,"This POKéMON has a dazzling plumage of beautifully glossy feathers. Many TRAINERS are captivated by the striking beauty of the feathers on its head, compelling them to choose PIDGEOT as their POKéMON."
pidgeot,18,7,"This POKéMON has gorgeous, glossy feathers. Many TRAINERS are so captivated by the beautiful feathers on its head that they choose PIDGEOT as their POKéMON."
pidgeot,18,8,It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed.
pidgeot,18,9,"By flapping its wings with all its might, PIDGEOT can make a gust of wind capable of bending tall trees."
pidgeot,18,10,"By flapping its wings with all its might, Pidgeot can make a gust of wind capable of bending tall trees."
pidgeot,18,11,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp."
pidgeot,18,12,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon."
pidgeot,18,13,"This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
rattata,19,1,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
rattata,19,2,"Will chew on any­ thing with its fangs. If you see one, it is certain that 40 more live in the area."
rattata,19,3,"It eats anything. Wherever food is available, it will settle down and produce offspring continuously."
rattata,19,4,"Living wherever there is food available, it ceaselessly scav­ enges for edibles the entire day."
rattata,19,5,This POKéMON's impressive vital­ ity allows it to live anywhere. It also multiplies very quickly.
rattata,19,6,"RATTATA is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives - it will make its nest anywhere."
rattata,19,7,"A RATTATA is cautious in the extreme. Even while it is asleep, it constantly moves its ears and listens for danger. It will make its nest anywhere."
rattata,19,8,"Its fangs are long and very sharp. They grow continuously, so it gnaws on hard things to whittle them down."
rattata,19,9,"Cautious in the extreme, its hardy vitality lets it live in any kind of environment."
rattata,19,10,"Living wherever there is food available, it ceaselessly scavenges for edibles the entire day."
rattata,19,11,"It searches for food all day. It gnaws on hard objects to wear down its fangs, which grow constantly during its lifetime."
rattata,19,12,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere."
rattata,19,13,"Its incisors continue growing until its death. If its Trainer doesn’t offer it a file to gnaw on, it will gnaw on door frames, table legs, and so on."
rattata,19,14,"With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly."
rattata,19,15,"Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death."
rattata,19,16,This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood.
rattata,19,17,"Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
raticate,20,1,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
raticate,20,2,"Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
raticate,20,3,Gnaws on anything with its tough fangs. It can even topple concrete buildings by gnaw­ ing on them.
raticate,20,4,"Its whiskers help it to maintain balance. Its fangs never stop grow­ ing, so it gnaws to pare them down."
raticate,20,5,The webs on its hind legs enable it to cross rivers. It search­ es wide areas for food.
